MSE_train,MSE_val,accuracy_train,accuracy_val
4.028621879081393208e-03,3.629156762639744460e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.391292651162244529e-03,3.193536440287775714e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.045512234445574718e-03,2.920342883378078836e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.817588581075502162e-03,2.733502519328760184e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.657926223392403225e-03,2.598794967030422509e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.538447477313321779e-03,2.494473078087726912e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.444896734384603264e-03,2.411782037160253075e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.370087022698203014e-03,2.345007269560724951e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.309583314846075028e-03,2.290781607992852659e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.259601345069186737e-03,2.245777654992062774e-03,0.000000000000000000e+00,0.000000000000000000e+00
