CE_train,CE_val,accuracy_train,accuracy_val
2.026149010138078133e+00,1.976295435428619296e+00,6.966363636363636092e-01,7.598000000000000309e-01
1.954368736197731771e+00,1.944904327392578125e+00,7.877272727272727204e-01,7.892000000000000126e-01
1.932177274877374895e+00,1.927472773075103785e+00,8.043272727272727796e-01,8.074000000000000066e-01
1.919772415490583972e+00,1.918415207386016785e+00,8.114363636363636223e-01,8.162000000000000366e-01
1.911995897605202499e+00,1.911956833839416614e+00,8.146909090909091322e-01,8.112000000000000322e-01
1.906382932524247620e+00,1.906750294208526597e+00,8.185818181818181882e-01,8.214000000000000190e-01
1.902146215664256790e+00,1.901733992099762016e+00,8.206181818181818022e-01,8.147999999999999687e-01
1.899014311651749942e+00,1.900387200832367007e+00,8.202909090909090706e-01,8.054000000000000048e-01
1.896799128150939984e+00,1.898533087730407631e+00,8.218181818181817810e-01,8.266000000000000014e-01
1.894865680018338328e+00,1.896141431808471722e+00,8.230181818181818709e-01,8.135999999999999899e-01
