CE_train,CE_val,accuracy_train,accuracy_val
8.287044876082376721e-01,5.158168386220931545e-01,7.332181818181817690e-01,8.284000000000000252e-01
4.646431917374784226e-01,4.509307017624378244e-01,8.401636363636363347e-01,8.466000000000000192e-01
4.117962670938535297e-01,4.245570210516452780e-01,8.568363636363636182e-01,8.548000000000000043e-01
3.821834389016032230e-01,3.848578678965568489e-01,8.667454545454545967e-01,8.671999999999999709e-01
3.604647336785088974e-01,3.771050601005554448e-01,8.734545454545454835e-01,8.671999999999999709e-01
3.454574880280277815e-01,4.193792197853326575e-01,8.795272727272727131e-01,8.504000000000000448e-01
3.339724917559461215e-01,3.562430373728275312e-01,8.839454545454545897e-01,8.773999999999999577e-01
3.219796555574644947e-01,3.599352571815252477e-01,8.869818181818182046e-01,8.783999999999999586e-01
3.104876824458891460e-01,3.509416753798723088e-01,8.912545454545454104e-01,8.768000000000000238e-01
3.030355820315805415e-01,3.487036784291267510e-01,8.946181818181818679e-01,8.786000000000000476e-01
2.954585029908202154e-01,3.483326555192470808e-01,8.971272727272727732e-01,8.801999999999999824e-01
2.868497950087894321e-01,3.488853111118078165e-01,8.996363636363636784e-01,8.808000000000000274e-01
2.814073786547238165e-01,3.462266875803470811e-01,9.032363636363636150e-01,8.761999999999999789e-01
2.747840922747146197e-01,3.283806520253420014e-01,9.043636363636363695e-01,8.890000000000000124e-01
2.697841135649518551e-01,3.355675790756940668e-01,9.055636363636363484e-01,8.841999999999999860e-01
2.635668668996203889e-01,3.488364869654178579e-01,9.080727272727272537e-01,8.776000000000000467e-01
2.584270938233895754e-01,3.251301636248826732e-01,9.107454545454545247e-01,8.831999999999999851e-01
2.544864571872082482e-01,3.352266305834055160e-01,9.117090909090909134e-01,8.858000000000000318e-01
2.491115402746607033e-01,3.335058909803628735e-01,9.142363636363636248e-01,8.870000000000000107e-01
2.452553506391969562e-01,3.266485033482313116e-01,9.150727272727272599e-01,8.875999999999999446e-01
