CE_train,CE_val,accuracy_train,accuracy_val
6.078206851900977981e-01,2.210468459725379864e-01,8.392181818181818631e-01,9.385999999999999899e-01
1.766725442738695528e-01,1.547401438131928431e-01,9.508181818181817846e-01,9.584000000000000297e-01
1.296768681408329571e-01,1.403088149353861891e-01,9.655272727272726785e-01,9.607999999999999874e-01
1.063533791158687014e-01,1.193951254263520279e-01,9.734363636363636552e-01,9.684000000000000385e-01
9.250548708777535378e-02,1.153743859305977754e-01,9.773636363636363233e-01,9.696000000000000174e-01
8.332544945112684009e-02,1.096564612537622441e-01,9.809090909090909527e-01,9.707999999999999963e-01
7.599055969464507676e-02,1.052364132553338938e-01,9.831272727272727385e-01,9.737999999999999989e-01
7.042154698148370140e-02,1.018999743536114638e-01,9.850545454545454049e-01,9.736000000000000210e-01
6.639399048029022421e-02,1.018018514662981100e-01,9.868727272727272348e-01,9.731999999999999540e-01
6.246373474056070296e-02,1.007665803506970353e-01,9.879272727272727650e-01,9.729999999999999760e-01
5.913608592829921323e-02,9.972462768852710657e-02,9.889272727272727659e-01,9.736000000000000210e-01
5.638235902224074392e-02,1.000922053791582639e-01,9.900181818181817972e-01,9.746000000000000218e-01
5.355031858052719529e-02,1.014059820547699997e-01,9.907818181818182079e-01,9.697999999999999954e-01
5.138406112918799534e-02,1.015200104899704470e-01,9.918000000000000149e-01,9.717999999999999972e-01
4.959404417635365075e-02,1.000990763530135164e-01,9.921454545454545526e-01,9.701999999999999513e-01
4.739868658171458859e-02,1.006766334772109944e-01,9.927090909090908744e-01,9.716000000000000192e-01
4.597727598554708639e-02,9.851223077252507787e-02,9.935272727272727034e-01,9.737999999999999989e-01
4.471629091318358312e-02,1.003201119601726532e-01,9.938727272727272410e-01,9.706000000000000183e-01
4.347424815737388482e-02,9.636449498683213877e-02,9.940363636363636068e-01,9.727999999999999980e-01
4.193331229226155560e-02,9.853236196562648042e-02,9.945454545454545103e-01,9.714000000000000412e-01
