CE_train,CE_val,accuracy_train,accuracy_val
1.890124582394686614e+00,1.855537967681884837e+00,8.062727272727272521e-01,8.326000000000000068e-01
1.847042320286143902e+00,1.848365813732147256e+00,8.373636363636363100e-01,8.317999999999999838e-01
1.840394653389670676e+00,1.841656085491180317e+00,8.386181818181818182e-01,8.396000000000000130e-01
1.836748435280539882e+00,1.837561340808868460e+00,8.384000000000000341e-01,8.357999999999999874e-01
1.834634669303893961e+00,1.836957040786743267e+00,8.387454545454545718e-01,8.352000000000000535e-01
1.833102567360617829e+00,1.836767213344574046e+00,8.391818181818181399e-01,8.379999999999999671e-01
1.832108486348932530e+00,1.833915927410125768e+00,8.398363636363636031e-01,8.362000000000000544e-01
1.831109928235140627e+00,1.833063340663909857e+00,8.406727272727272382e-01,8.356000000000000094e-01
1.830581462842767904e+00,1.832414727687835754e+00,8.395818181818182069e-01,8.427999999999999936e-01
1.829908900243585768e+00,1.833425122261047369e+00,8.412181818181818649e-01,8.344000000000000306e-01
