train_l_rec,train_l_en,train_l_eff,loss_train,val_l_rec,val_l_en,val_l_eff,loss_val
4.519606791639001142e-08,6.042489476168333429e-01,0.000000000000000000e+00,5.728104669790117062e-05,3.995489216554003104e-08,4.285485503039782595e-01,0.000000000000000000e+00,4.852586269269614975e-05
3.893517651192359934e-08,3.929000277636147676e-01,0.000000000000000000e+00,4.679317710575397598e-05,3.600323963572792098e-08,3.442478485499756435e-01,0.000000000000000000e+00,4.288819681151616748e-05
3.577129942930663453e-08,3.342385771813423112e-01,0.000000000000000000e+00,4.245607081513012171e-05,3.348186389743365852e-08,3.070901915242400526e-01,0.000000000000000000e+00,3.962366758105993417e-05
3.374067469768773708e-08,3.056410468463450214e-01,0.000000000000000000e+00,3.985349553513592772e-05,3.190782611967808685e-08,2.878086740457558856e-01,0.000000000000000000e+00,3.766400002376353362e-05
3.241662438503791514e-08,2.891516220976294571e-01,0.000000000000000000e+00,3.819965666301721380e-05,3.086341536208139872e-08,2.752445174168937081e-01,0.000000000000000000e+00,3.636830555064355828e-05
3.156750750304272302e-08,2.768616532084784421e-01,0.000000000000000000e+00,3.710474040246814544e-05,3.018208701812713685e-08,2.641589809444886416e-01,0.000000000000000000e+00,3.546526637318827066e-05
3.098675721131031861e-08,2.671402773496184269e-01,0.000000000000000000e+00,3.632956273278652702e-05,2.970310759660087919e-08,2.556023079005977916e-01,0.000000000000000000e+00,3.481515375801503247e-05
3.054852688460908794e-08,2.596353424002112442e-01,0.000000000000000000e+00,3.574123336115170730e-05,2.927504566751918700e-08,2.494599607926380747e-01,0.000000000000000000e+00,3.426424509483165336e-05
3.018593618798017164e-08,2.538534261461005692e-01,0.000000000000000000e+00,3.526300454030939670e-05,2.899495554483472770e-08,2.438066530076763161e-01,0.000000000000000000e+00,3.387108835674633905e-05
2.988885319864115734e-08,2.493209417250110693e-01,0.000000000000000000e+00,3.487527192385841745e-05,2.875196171162228896e-08,2.403560708972472260e-01,0.000000000000000000e+00,3.355908322905461108e-05
2.963106301806245085e-08,2.459015798276421305e-01,0.000000000000000000e+00,3.454909466124121817e-05,2.847833768523195286e-08,2.371231800393213129e-01,0.000000000000000000e+00,3.322080098043926643e-05
2.941065711936570368e-08,2.431351824292241892e-01,0.000000000000000000e+00,3.427336070908611703e-05,2.831550582190854510e-08,2.356442067819305708e-01,0.000000000000000000e+00,3.302838980099422002e-05
2.921173641571823073e-08,2.409016007362906608e-01,0.000000000000000000e+00,3.402976846258624422e-05,2.813548943754971896e-08,2.329936368933206992e-01,0.000000000000000000e+00,3.279536208480484771e-05
2.904116958663763794e-08,2.390272838474590822e-01,0.000000000000000000e+00,3.382171507643561226e-05,2.797629382164762387e-08,2.315547083374820125e-01,0.000000000000000000e+00,3.260738824942160702e-05
2.888532549089512682e-08,2.375042254863771463e-01,0.000000000000000000e+00,3.363540968660991249e-05,2.782374310697113148e-08,2.301407880798170824e-01,0.000000000000000000e+00,3.242655882878594392e-05
2.875030016853398574e-08,2.360963379777570870e-01,0.000000000000000000e+00,3.347222684793966444e-05,2.777185902906510197e-08,2.292053871139695387e-01,0.000000000000000000e+00,3.235596638280438411e-05
2.862177486915184010e-08,2.350127395155079124e-01,0.000000000000000000e+00,3.332202951088726123e-05,2.760755701684455960e-08,2.287652803749977704e-01,0.000000000000000000e+00,3.218286294697141281e-05
