CE_train,CE_val,accuracy_train,accuracy_val
2.032146802156621579e+00,1.990226875305175724e+00,6.980909090909090953e-01,7.501999999999999780e-01
1.970778551119024113e+00,1.964877417087554923e+00,7.702727272727272201e-01,7.750000000000000222e-01
1.950338818203319224e+00,1.947789741039276157e+00,7.856727272727273004e-01,7.852000000000000091e-01
1.938481358961625434e+00,1.939202410697937085e+00,7.928727272727272846e-01,7.995999999999999774e-01
1.931060125368291747e+00,1.932700762271881034e+00,8.000000000000000444e-01,7.937999999999999501e-01
1.926104354234175142e+00,1.928012237071990986e+00,8.042000000000000259e-01,8.052000000000000268e-01
1.923086230711503530e+00,1.924368457794189524e+00,8.059272727272727144e-01,7.967999999999999527e-01
1.920391467250477158e+00,1.923387499809265044e+00,8.080545454545454698e-01,7.935999999999999721e-01
1.918086022463711737e+00,1.920860291481018001e+00,8.090909090909090828e-01,8.124000000000000110e-01
1.916177745004133737e+00,1.917861133098602400e+00,8.101454545454545020e-01,8.075999999999999845e-01
