train_l_rec,train_l_en,train_l_eff,loss_train,val_l_rec,val_l_en,val_l_eff,loss_val
4.524684143681713459e-08,5.758804598850990608e-01,0.000000000000000000e+00,5.676445049594398915e-05,3.981955450603603667e-08,4.223754745495470475e-01,0.000000000000000000e+00,4.826706424841798430e-05
3.885783788932916749e-08,4.067045118508816892e-01,0.000000000000000000e+00,4.699192788533326347e-05,3.603101866375093833e-08,3.770960018604616604e-01,0.000000000000000000e+00,4.357293842594681593e-05
3.603348358571055857e-08,3.771310944928289444e-01,0.000000000000000000e+00,4.357610531806596551e-05,3.394848891454059703e-08,3.576967338972453780e-01,0.000000000000000000e+00,4.110242376624182424e-05
3.432443536128190560e-08,3.639680060750640211e-01,0.000000000000000000e+00,4.160379508953553231e-05,3.258828180022807773e-08,3.500268723391279369e-01,0.000000000000000000e+00,3.958881924391570862e-05
3.315818600406664944e-08,3.573224456833877793e-01,0.000000000000000000e+00,4.030463477122043559e-05,3.168085603700587488e-08,3.440779688992077756e-01,0.000000000000000000e+00,3.856241523805428284e-05
3.236931977515221197e-08,3.524604512811469470e-01,0.000000000000000000e+00,3.941852853435879721e-05,3.100439151547659719e-08,3.411992056460320111e-01,0.000000000000000000e+00,3.782837528070800298e-05
3.179974527150439560e-08,3.486488377615841183e-01,0.000000000000000000e+00,3.877272179696772294e-05,3.052911141328221186e-08,3.371276357505895160e-01,0.000000000000000000e+00,3.727166367292439293e-05
3.136828221290418365e-08,3.455163975641417085e-01,0.000000000000000000e+00,3.827860988644279602e-05,3.011687511473932869e-08,3.349033047126818152e-01,0.000000000000000000e+00,3.681494145215005411e-05
3.102036356473653537e-08,3.430803053414643866e-01,0.000000000000000000e+00,3.788196935697194851e-05,2.985964976260997542e-08,3.316003491606893672e-01,0.000000000000000000e+00,3.649165660999066982e-05
3.074221626281502140e-08,3.409663441974216669e-01,0.000000000000000000e+00,3.756154289334835407e-05,2.961635630971544943e-08,3.317167555229573184e-01,0.000000000000000000e+00,3.625069116942195507e-05
3.049961837599905601e-08,3.395322091670941456e-01,0.000000000000000000e+00,3.729026246719610647e-05,2.936191810643817221e-08,3.291684008097346958e-01,0.000000000000000000e+00,3.594528607209213078e-05
3.029964028552719420e-08,3.380601484257020894e-01,0.000000000000000000e+00,3.706084322375454110e-05,2.921504876555785321e-08,3.296360573436640240e-01,0.000000000000000000e+00,3.580776969032786229e-05
3.011717185425999370e-08,3.369972385577301721e-01,0.000000000000000000e+00,3.685711657345197822e-05,2.907037367508478386e-08,3.268508669696276736e-01,0.000000000000000000e+00,3.560739106099309698e-05
2.996649636606370888e-08,3.359027875384796302e-01,0.000000000000000000e+00,3.668455183345909897e-05,2.893034182399120047e-08,3.263747669473479052e-01,0.000000000000000000e+00,3.545783720601090731e-05
2.982698044391289456e-08,3.350073147430094322e-01,0.000000000000000000e+00,3.652712661596233462e-05,2.876574459925237327e-08,3.267378995690164434e-01,0.000000000000000000e+00,3.530050199066253651e-05
2.970460381624703796e-08,3.342097949371663490e-01,0.000000000000000000e+00,3.638879960815636472e-05,2.872926038838193628e-08,3.264287280130989677e-01,0.000000000000000000e+00,3.525783457790348109e-05
2.958822986194547864e-08,3.335355625732112639e-01,0.000000000000000000e+00,3.625894099278355532e-05,2.860095901323198075e-08,3.248534029043173565e-01,0.000000000000000000e+00,3.509802678032613416e-05
2.948478897093515751e-08,3.328946324935091461e-01,0.000000000000000000e+00,3.614268142143949812e-05,2.844948692941100907e-08,3.222281642352478603e-01,0.000000000000000000e+00,3.489404989062377911e-05
2.938969689646935636e-08,3.322366333719509734e-01,0.000000000000000000e+00,3.603442951461979457e-05,2.834963175043320771e-08,3.230054001264934249e-01,0.000000000000000000e+00,3.480973966269388503e-05
2.930111841574279569e-08,3.317669762858449500e-01,0.000000000000000000e+00,3.593645783778933052e-05,2.827161431544545499e-08,3.227427186845224227e-01,0.000000000000000000e+00,3.472646853821706014e-05
