MSE_train,MSE_val,accuracy_train,accuracy_val
2.594097790392962521e-03,2.151340431068092529e-03,7.043090909090908847e-01,7.858000000000000540e-01
2.038093829256566996e-03,1.983391351997852454e-03,8.047090909090909294e-01,7.945999999999999730e-01
1.934208091678605874e-03,1.917007351759821227e-03,8.129272727272727206e-01,8.115999999999999881e-01
1.886544068564068250e-03,1.882892480585724154e-03,8.176363636363636056e-01,8.127999999999999670e-01
1.858426125897941206e-03,1.862149499822407864e-03,8.203272727272726828e-01,8.127999999999999670e-01
1.839591009652411478e-03,1.844989846460521254e-03,8.224000000000000199e-01,8.159999999999999476e-01
1.826000708925791700e-03,1.833123594522476259e-03,8.247818181818181715e-01,8.152000000000000357e-01
1.815750273469496920e-03,1.824937569908797672e-03,8.255636363636363884e-01,8.204000000000000181e-01
1.807330900820141575e-03,1.818707296159118416e-03,8.266909090909091429e-01,8.207999999999999741e-01
1.800574545773931572e-03,1.810852058697491910e-03,8.267454545454545611e-01,8.154000000000000137e-01
1.795018673976036660e-03,1.804750482551753478e-03,8.280909090909090997e-01,8.182000000000000384e-01
1.790403250689533675e-03,1.800809634849429106e-03,8.283090909090908838e-01,8.202000000000000401e-01
1.786120955341241644e-03,1.797709292266517827e-03,8.287818181818181751e-01,8.202000000000000401e-01
1.782677697872912326e-03,1.794263856951147347e-03,8.297272727272727577e-01,8.215999999999999970e-01
1.779658050589602103e-03,1.793375985696911727e-03,8.293454545454544968e-01,8.204000000000000181e-01
1.776921790254048280e-03,1.792317837942391558e-03,8.302727272727272734e-01,8.192000000000000393e-01
1.774527059309184652e-03,1.787872443906962866e-03,8.306000000000000050e-01,8.212000000000000410e-01
1.772378050510517661e-03,1.785639694426208700e-03,8.299999999999999600e-01,8.207999999999999741e-01
1.770459461796351427e-03,1.784523613285273359e-03,8.307999999999999829e-01,8.217999999999999750e-01
1.768758460591462588e-03,1.782624236308038256e-03,8.308727272727273183e-01,8.224000000000000199e-01
