CE_train,CE_val,accuracy_train,accuracy_val
2.160474121743354292e+00,2.153064334547365011e+00,4.044373549883990560e-01,4.732375979112271591e-01
2.041598539767058185e+00,2.105062472355830216e+00,6.152842227378190199e-01,5.124020887728459872e-01
1.993401160793027982e+00,2.076851197651454317e+00,6.914153132250580036e-01,5.613577023498694807e-01
1.963656183774920461e+00,2.063984599980440926e+00,7.478248259860789116e-01,5.913838120104438767e-01
1.945444275849107285e+00,2.048944830120384086e+00,7.669663573085846453e-01,6.011749347258485976e-01
1.933389155761055411e+00,2.045379212924412382e+00,7.792923433874709982e-01,6.168407310704960844e-01
1.924856413101804442e+00,2.041748175373325314e+00,7.843677494199535749e-01,6.285900783289817273e-01
1.918140872146772313e+00,2.035731710396803784e+00,7.897331786542923782e-01,6.325065274151435712e-01
1.913134465355804004e+00,2.028876893706136109e+00,7.901682134570765514e-01,6.416449086161879478e-01
1.908110017534615288e+00,2.032808214813083936e+00,8.003190255220418159e-01,6.383812010443864482e-01
1.905492449843365188e+00,2.022164822398841988e+00,7.997389791183294738e-01,6.494778067885117467e-01
1.901668085568193112e+00,2.026352729116167151e+00,8.014791183294663890e-01,6.507832898172323244e-01
1.899203592279683050e+00,2.021051217983295345e+00,8.051044083526681661e-01,6.468668407310704804e-01
1.896875803194184140e+00,2.016665703290468681e+00,8.049593967517401083e-01,6.625326370757179673e-01
1.894575861917025872e+00,2.017886629352321659e+00,8.084396751740139386e-01,6.553524804177546237e-01
